department,allocation_ratio,building_name,thai_code,b_code_hint,floor_hint,source_row
สก.ชธธ.,1.0,ท.0007 อาคาร กองบริหาร ชธธ.,ท.0007,T.0007,,4
สก.ชธธ.,1.0,ต.0026 อาคารระบบประปา,ต.0026,D.0026,,5
สก.ชธธ.,1.0,ต.0017 อาคาร โรงอาหาร,ต.0017,D.0017,,6
สก.ชธธ.,0.0,ต.0017 ร้านอาหาร 1 (จ๊ายตี๋),ต.0017,D.0017,,7
สก.ชธธ.,0.0,ต.0017 ร้านอาหาร 2 (ก๋วยเตี๋ยวสะบัดเส้น),ต.0017,D.0017,,8
สก.ชธธ.,0.0,ต.0017 ร้านอาหาร 3 (ร้านอาหารไม่ปิด),ต.0017,D.0017,,9
สก.ชธธ.,0.0,ต.0017 ตู้ ATM ธนาคารกรุงไทย,ต.0017,D.0017,,10
สก.ชธธ.,0.0,ต.0017 ร้านกาแฟ ใหม่,ต.0017,D.0017,,11
สก.ชธธ.,1.0,ต.0019 อาคารนันทนาการพร้อมอาคารจอดรถ,ต.0019,D.0019,,12
สก.ชธธ.,0.0,ต.0019 ร้านอาหาร 4 (ครัวเทคแคร์),ต.0019,D.0019,,13
สก.ชธธ.,0.0,ต.0019 ร้านอาหาร 5 (ตี๋ใหญ่ข้าวมันไก่),ต.0019,D.0019,,14
สก.ชธธ.,0.0,ต.0019 ร้านอาหาร 6 (ก๋วยเตี๋ยวแก้วขวัญ),ต.0019,D.0019,,15
สก.ชธธ.,0.0,ต.0019 ร้านอาหาร 7 (ต้อมผลไม้สด),ต.0019,D.0019,,16
สก.ชธธ.,0.0,ต.0019 ร้านอาหาร 8 (ปั้นไปเรื่อย),ต.0019,D.0019,,17
สก.ชธธ.,0.0,ต.0019 ร้านอาหาร 9 (อาอิซะห์อาหารอิสลาม),ต.0019,D.0019,,18
สก.ชธธ.,0.0,ต.0019 ร้านสหกรณ์,ต.0019,D.0019,,19
สก.ชธธ.,1.0,ต.0025 อาคารอเนกประสงค์,ต.0025,D.0025,,20
สก.ชธธ.,0.16666666666666666,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019,T.0019,FL01,21
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. ระบบแสงสว่าง 1,ท.0019,T.0019,FL01,22
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 1,ท.0019,T.0019,FL01,23
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 1,ท.0019,T.0019,FL01,24
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ. (EMDB),ท.0019,T.0019,FL01,25
สก.ชธธ.,1.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ.,ท.0019,T.0019,FL03,26
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ. ระบบแสงสว่าง 3,ท.0019,T.0019,FL03,27
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 3,ท.0019,T.0019,FL03,28
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 3,ท.0019,T.0019,FL03,29
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 3 อาคารทำการ ชธธ.ร้านกาแฟ,ท.0019,T.0019,FL03,30
สก.ชธธ.,1.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะงานเดิมเครื่องและบำรุงรักษา,ท.0020,T.0020,,31
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 1,ท.0020,T.0020,,32
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 1,ท.0020,T.0020,,33
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 1,ท.0020,T.0020,,34
สก.ชธธ.,0.0,ท.0020 ชั้นที่ 2,ท.0020,T.0020,FL02,35
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 2,ท.0020,T.0020,,36
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 2,ท.0020,T.0020,,37
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 2,ท.0020,T.0020,,38
สก.ชธธ.,0.0,ท.0020 ชั้นที่ 3,ท.0020,T.0020,FL03,39
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบแสงสว่าง 3,ท.0020,T.0020,,40
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องใช้ไฟฟ้า 3,ท.0020,T.0020,,41
สก.ชธธ.,0.0,ท.0020 อาคาร ศูนย์รับรองสมรรถนะฯ ระบบเครื่องปรับอากาศ 3,ท.0020,T.0020,,42
สก.ชธธ.,0.0,ท.0020 แอร์รวม,ท.0020,T.0020,,43
สก.ชธธ.,0.0833333,ท.0019 ชั้นที่ 9 (รวม),ท.0019,T.0019,FL09,44
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบแสงสว่าง 9,ท.0019,T.0019,FL09,45
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/1,ท.0019,T.0019,FL09,46
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/2,ท.0019,T.0019,FL09,47
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 9,ท.0019,T.0019,FL09,48
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 PPD,ท.0019,T.0019,FL09,49
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 1,ท.0019,T.0019,FL09,50
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 2,ท.0019,T.0019,FL09,51
สก.ชธธ.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 3,ท.0019,T.0019,FL09,52
สก.ชธธ.,0.0,ท.0019 Booster Pump,ท.0019,T.0019,,53
สก.ชธธ.,0.0,ท.0019 PPL (Lift),ท.0019,T.0019,,54
อบค.,0.16666666666666666,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,ท.0019,T.0019,FL01,56
อบค.,0.0833333333,ท.0019 ชั้นที่ 9 (รวม),ท.0019,T.0019,FL09,57
อบค.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบแสงสว่าง 9,ท.0019,T.0019,FL09,58
อบค.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/1,ท.0019,T.0019,FL09,59
อบค.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องใช้ไฟฟ้า 9/2,ท.0019,T.0019,FL09,60
อบค.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. ระบบเครื่องปรับอากาศ 9,ท.0019,T.0019,FL09,61
อบค.,0.0,ท.0019 ชั้นที่ 9 PPD,ท.0019,T.0019,FL09,62
อบค.,0.0,ท.0019 ชั้นที่ 9 อาคารทำการ ชธธ. แอร์รวม 1,ท.0019,T.0019,FL09,63
