meter_id,building_name,reading_date,raw_reading,normalized_kwh,usage_kwh
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-01-02,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-01-09,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-01-16,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-01-23,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-01-30,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-02-06,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-02-13,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-02-20,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-02-27,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-03-06,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-03-13,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-03-20,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-03-27,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-04-03,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-04-10,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-04-17,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-04-24,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-05-01,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-05-08,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-05-15,,0,0
EGAT__FL01__Main,มิเตอร์รวมทั้งหมด,2026-05-22,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-01-02,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-01-09,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-01-16,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-01-23,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-01-30,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-02-06,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-02-13,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-02-20,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-02-27,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-03-06,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-03-13,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-03-20,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-03-27,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-04-03,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-04-10,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-04-17,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-04-24,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-05-01,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-05-08,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-05-15,,0,0
EGAT__FL01__Main2,มิเตอร์รวม เฟส 1,2026-05-22,,0,0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-01-02,964.366,964366.0,0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-01-09,966.1,966100.0,1734.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-01-16,967.37,967370.0,1270.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-01-23,968.85,968850.0,1480.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-01-30,970.0,970000.0,1150.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-02-06,971.39,971390.0,1390.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-02-13,972.613,972613.0,1223.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-02-20,974.05,974050.0,1437.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-02-27,975.38,975380.0,1330.0
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-03-06,976.47168,976471.68,1091.68
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-03-13,977.70416,977704.16,1232.48
T.0006__FL01__MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,2026-03-20,978.79312,978793.12,1088.96
