reading_date,week_id,sort_order,meter_id,b_code,floor,subb_code,building_name,raw_reading,raw_unit,reader,note
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,1,EGAT__FL01__Main,EGAT,FL01,Main11,มิเตอร์รวมทั้งหมด,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,2,EGAT__FL01__Main2,EGAT,FL01,Main21,มิเตอร์รวม เฟส 1,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,3,T.0006__FL01__MDB,T.0006,FL01,MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,4,T.0007__FL01__MDB,T.0007,FL01,MDB,ท.0007 อาคาร กองบริหาร ชธธ.,19378.35,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,5,T.0008__FL01__MDB,T.0008,FL01,MDB,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.,2477.95,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,6,T.0009__FL01__MDB,T.0009,FL01,MDB,ท.0009 อาคาร ปฏิบัติการพิเศษ,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,7,T.0010__FL01__MDB,T.0010,FL01,MDB,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.,81118.59,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,8,T.0011__FL01__MDB,T.0011,FL01,MDB,ท.0011 อาคาร เครื่องมือ อบค.,3062.74,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,9,T.0012__FL01__MDB,T.0012,FL01,MDB,ท.0012 อาคาร บำรุงรักษาเครื่องกล อบค.,323256.14,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,10,D.0026__FL01__MDB,D.0026,FL01,MDB,ต.0026 อาคารระบบประปา,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,11,D.0017__FL01__MDB,D.0017,FL01,MDB,ต.0017 อาคาร โรงอาหาร,9753.29,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,12,D.0017__FL01__ร้านค้า_1,D.0017,FL01,ร้านค้า 1,ต.0017 ร้านอาหาร 1 (จ๊ายตี๋),0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,13,D.0017__FL01__ร้านค้า_2,D.0017,FL01,ร้านค้า 2,ต.0017 ร้านอาหาร 2 (ก๋วยเตี๋ยวสะบัดเส้น),0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,14,D.0017__FL01__ร้านค้า_3,D.0017,FL01,ร้านค้า 3,ต.0017 ร้านอาหาร 3 (ร้านอาหารไม่ปิด),0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,15,D.0017__FL01__ร้านค้า_4,D.0017,FL01,ร้านค้า 4,ต.0017 ตู้ ATM ธนาคารกรุงไทย,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,16,D.0017__FL01__ร้านค้า_5,D.0017,FL01,ร้านค้า 5,ต.0017 ร้านกาแฟ ใหม่,,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,17,T.0014__FL01__MDB,T.0014,FL01,MDB,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,428240.12,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,18,T.0015__FL01__MDB,T.0015,FL01,MDB,ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2,568672.86,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,19,T.0016__FL01__MDB,T.0016,FL01,MDB,ท.0016 อาคารปฏิบัติการเคมี 1 อคม.,418457.05,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,20,T.0017__FL01__MDB,T.0017,FL01,MDB,ท.0017 อาคาร ศูนย์พัฒนางานเชื่อมและทดสอบฝีมือช่างเชื่อมสากล,0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,21,T.0018__FL01__MDB,T.0018,FL01,MDB,ท.0018 อาคารศูนย์มาตรวิทยาและสอบเทียบเครื่องมือวัด,306358.54,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,22,D.0019__FL01__MDB,D.0019,FL01,MDB,ต.0019 อาคารนันทนาการพร้อมอาคารจอดรถ,207011.52,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,23,D.0019__FL01__ร้านค้า_1,D.0019,FL01,ร้านค้า 1,ต.0019 ร้านอาหาร 4 (ครัวเทคแคร์),0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,24,D.0019__FL01__ร้านค้า_2,D.0019,FL01,ร้านค้า 2,ต.0019 ร้านอาหาร 5 (ตี๋ใหญ่ข้าวมันไก่),0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,25,D.0019__FL01__ร้านค้า_3,D.0019,FL01,ร้านค้า 3,ต.0019 ร้านอาหาร 6 (ก๋วยเตี๋ยวแก้วขวัญ),0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,26,D.0019__FL01__ร้านค้า_4,D.0019,FL01,ร้านค้า 4,ต.0019 ร้านอาหาร 7 (ต้อมผลไม้สด),0,kWh,,
Sat May 30 2026 00:00:00 GMT+0700 (เวลาอินโดจีน),2026-W22,27,D.0019__FL01__ร้านค้า_5,D.0019,FL01,ร้านค้า 5,ต.0019 ร้านอาหาร 8 (ปั้นไปเรื่อย),0,kWh,,
